,data_url,neighborhood,code_postal
43,https://www.point2homes.com//CA/Home-For-Sale/ON/Toronto/Hillcrest-Village/3740-Don-Mills-Rd-Toronto-Ontario-M2H3J2/84966302.html,Hillcrest Village,M2H3J2
44,https://www.point2homes.com//CA/Home-For-Sale/ON/Toronto/Downsview/31-Jane-Osler-Blvd/85319471.html,Downsview,M6A 1W6
45,https://www.point2homes.com//CA/Home-For-Sale/ON/Toronto/Bayview-Village/18-Kenaston-Gdns/85865991.html,Bayview Village,M2K 1G8
46,https://www.point2homes.com//CA/Condo-For-Sale/ON/Toronto/The-Queensway/1185-The-Queensway-Ave/85741960.html,The Queensway,M8Z 0C6
47,https://www.point2homes.com//CA/Home-For-Sale/ON/Toronto/Woburn/24-Cedar-Brae-Blvd/85866100.html,Woburn,M1J 2K3
48,https://www.point2homes.com//CA/Home-For-Sale/ON/Toronto/Bayview-Village/18-Kenaston-Gdns/85825572.html,Bayview Village,M2K 1G8
49,https://www.point2homes.com//CA/Home-For-Sale/ON/Toronto/Cityplace/85-Queens-Wharf-Rd-Toronto-Ontario-M5V0J9/86315076.html,Cityplace,M5V0J9
50,https://www.point2homes.com//CA/Home-For-Sale/ON/Toronto/Entertainment-District/88-Blue-Jays-Way/84109631.html,Entertainment District,
51,https://www.point2homes.com//CA/Condo-For-Sale/ON/Toronto/Fairbank/2433-Dufferin-Street-York-ON/81538732.html,Fairbank,M6E 3T3
52,https://www.point2homes.com//CA/Condo-For-Sale/ON/Toronto/Yorkville/155-Yorkville-Avenue/85825716.html,Yorkville,M5R0B2
53,https://www.point2homes.com//CA/Condo-For-Sale/ON/Toronto/Mimico/36-Park-Lawn-Rd/86092771.html,Mimico,M8Y 3H8
54,https://www.point2homes.com//CA/Home-For-Sale/ON/Toronto/Seven-Oaks-Morningside/94-Purpledusk-Tr/81603528.html,Seven Oaks - Morningside,M1E4C8
55,https://www.point2homes.com//CA/Condo-For-Sale/ON/Toronto/Financial-District/65-Bremner-Blvd/86230459.html,Financial District,M5J 0A7
56,https://www.point2homes.com//CA/Home-For-Sale/ON/Toronto/Cityplace/15-Iceboat-Terr-Toronto-Ontario-M5V4A5/82487055.html,Cityplace,M5V4A5
57,https://www.point2homes.com//CA/Home-For-Sale/ON/Toronto/Bendale/2794-Eglinton-Ave-E-Toronto-Ontario-M1J-2C8/82071673.html,Bendale,M1J 2C8
58,https://www.point2homes.com//CA/Home-For-Sale/ON/Toronto/Agincourt/55-Dennett-Dr/86019485.html,Agincourt,M1S2E8
59,https://www.point2homes.com//CA/Home-For-Sale/ON/Toronto/Fort-York/209-Fort-York-Blvd-Toronto-Ontario-M5V4A1/84966022.html,Fort York,M5V4A1
60,https://www.point2homes.com//CA/Home-For-Sale/ON/Toronto/Swansea/105-The-Queensway-Ave-Toronto-Ontario-M6S-5B5/85867995.html,Swansea,M6S 5B5
61,https://www.point2homes.com//CA/Condo-For-Sale/ON/Toronto/Fort-York/637-Lake-Shore-Blvd/86230105.html,Fort York,M5V 3J6
62,https://www.point2homes.com//CA/Home-For-Sale/ON/Toronto/Downsview/160-Flemington-Rd/80557471.html,Downsview,M6A 0A9
63,https://www.point2homes.com//CA/Home-For-Sale/ON/Toronto/Glen-Park/830-Lawrence-Ave-West/83736653.html,Glen Park,M6A1C3
64,https://www.point2homes.com//CA/Home-For-Sale/ON/Toronto/Glen-Park/830-Lawrence-Ave-W/83736627.html,Glen Park,M6A 1C3
65,https://www.point2homes.com//CA/Home-For-Sale/ON/Toronto/Willowdale/80-Harrison-Garden-Blvd-Toronto-Ontario-M2N7E3/86092706.html,Willowdale,M2N7E3
66,https://www.point2homes.com//CA/Home-For-Sale/ON/Toronto/Downsview/61-Jim-Baird-Mews-Toronto-Ontario-M3L0C3/82440670.html,Downsview,M3L0C3
67,https://www.point2homes.com//CA/Condo-For-Sale/ON/Toronto/Deer-Park/One-Delisle/86094439.html,Deer Park,M4T 1Z6
