,address,long,lat,data_url,price_$CAN,beds,baths,sqft,type
297,"No address available, Toronto, Ontario",-79.289857,43.785909,/CA/Home-For-Sale/ON/Toronto/Tam-O-Shanter-Sullivan/No-address-available/82584723.html,"$525,000 CAD",2 Beds,2 Baths,--,Apartment
298,"1182 King St West, Toronto, Ontario",-79.426812,43.639285,/CA/Condo-For-Sale/ON/Toronto/Liberty-Village/1182-King-St-West/81111846.html,"$430,000 CAD",--,--,--,Condo
299,"Clonmore Urban Towns - 168 Clonmore Drive, Toronto, ON, Toronto, Ontario",-79.277246,43.690544,/CA/Home-For-Sale/ON/Toronto/Birch-Cliff/Clonmore-Urban-Towns-168-Clonmore-Drive-Toronto-ON/86625169.html,"$700,000 CAD",--,--,--,Residential
300,"25 Viking Lane `, Toronto, Ontario",-79.536791,43.638373,/CA/Condo-For-Sale/ON/Toronto/The-Queensway/25-Viking-Lane-/87363543.html,"$615,000 CAD",2 Beds,2 Baths,--,Condo
301,"The Keeley Condos - 3100 Keele Street, Toronto, ON, Toronto, Ontario",-79.486012,43.739887,/CA/Home-For-Sale/ON/Toronto/Downsview/The-Keeley-Condos-3100-Keele-Street-Toronto-ON/86019501.html,"$375,994 CAD",--,--,--,Residential
302,"39 Chiefswood Square, Toronto, Ontario",-79.329182,43.812005,/CA/Home-For-Sale/ON/Toronto/Steeles/39-Chiefswood-Square/73486511.html,"$1,298,800 CAD",4 Beds,5 Baths,--,Residential
303,"2212 Lake Shore Blwd., Toronto, ONTARIO, Canada, Toronto, Ontario",-79.481699,43.622367,/CA/Home-For-Sale/ON/Toronto/Mimico/2212-Lake-Shore-Blwd-Toronto-ONTARIO-Canada/54434597.html,"$638,888 CAD",1 Bed,1 Bath,--,Residential
304,"Esther Lorrie Dr Toronto Ontario M9W4V1, Toronto, Ontario",-79.577134,43.732031,/CA/Home-For-Sale/ON/Toronto/Rexdale/Esther-Lorrie-Dr-Toronto-Ontario-M9W4V1/76140112.html,"$479,900 CAD",2 Beds,2 Baths,--,Apartment
305,"18 Holmes Avenue, Toronto, Ontario",-79.413536,43.778424,/CA/Condo-For-Sale/ON/Toronto/Willowdale/18-Holmes-Avenue/78255437.html,"$474,900 CAD",--,--,--,Condo
306,"30 Ordnance St Toronto Ontario M6K1A2, Toronto, Ontario",-79.409769,43.639732,/CA/Home-For-Sale/ON/Toronto/Fort-York/30-Ordnance-St-Toronto-Ontario-M6K1A2/86314491.html,"$699,000 CAD",1 Bed,1 Bath,--,Apartment
307,"Lower River Street, Toronto, Ontario",-79.355343,43.656321,/CA/Condo-For-Sale/ON/Toronto/Downtown-Toronto/Corktown/Lower-River-Street/82258414.html,"$1,375,000 CAD",--,--,--,Condo
